,scenario_id,roaduser_id,startx_axis,starty_axis,endx_axis,endy_axis,speed,max_speed,numberofcycle,start_cycle,user_type
58,16,c31,93.2067927124413,60.34201569423206,27.84869604,23.06762033,2.619181059,8.117712978,408,330,2
59,16,p150,64.50380767198554,55.91331263940803,67.60161500801446,30.10928527059197,1.102628903,1.503148119,433,350,1
60,16,p151,65.14728464133404,53.33814337819558,68.37584241866597,32.000796671804416,0.652706883,1.401148091,432,352,1
61,17,c31,93.2067927124413,60.34201569423206,27.84869604,23.06762033,2.619181059,8.117712978,408,330,2
62,17,p116,64.2605861151144,28.30764386134958,59.09050874488559,54.23412024865043,1.170679212,1.3535131280000001,398,358,1
63,17,p117,65.28983004581643,27.804659615889452,59.18313535418357,52.75047240411055,1.179364166,1.352500245,396,357,1
64,17,p115,78.0076859317618,39.3555482927096,50.766726258238194,44.874584817290405,1.352879691,1.352879691,398,351,1
65,17,p152,59.24676404866244,46.84368904537174,71.25666679133757,36.91467686462826,0.013444939,1.23272649,409,366,1
66,17,p153,58.69153949404111,46.52854628424913,70.26381744595889,35.718762755750866,0.0034042440000000003,1.250291638,408,363,1
67,18,c33,90.82664534595115,59.36379275969745,27.72752413,22.66497078,1.7570701000000002,6.955631104,447,371,2
68,18,p151,65.14728464133404,53.33814337819558,68.37584241866597,32.000796671804416,0.652706883,1.401148091,432,352,1
69,18,p150,64.50380767198554,55.91331263940803,67.60161500801446,30.10928527059197,1.102628903,1.503148119,433,350,1
70,18,p155,64.86651167146242,56.14151158814677,72.25246002853757,32.325368311853225,0.7069318059999999,1.954568665,431,392,1
71,18,p154,64.29757469640498,55.77507239177147,70.93540037359502,32.39471687822853,0.743739165,1.512056311,433,390,1
72,18,p118,71.93879486887717,31.910573933078098,62.452673361122834,56.1222788269219,0.570448626,2.262982889,426,385,1
73,19,p392,58.25235168918491,24.410480288144914,46.46816556081509,46.782663251855084,1.190856269,1.5108833769999999,1367,1333,1
74,19,p394,57.18874942067312,22.184896607917768,47.13408052932688,48.478696122082226,1.436244131,1.496283069,1396,1360,1
75,19,p393,56.399968595916135,23.870796953723875,48.514815454083866,48.019904806276124,1.1045117340000001,1.5933387630000002,1379,1345,1
76,19,c148,16.306401453276514,8.823324897989025,76.68863574,47.52621593,6.198613087000001,6.198613087000001,1888,1829,2
77,20,c10,14.99515366654625,6.299175885343802,85.35725012,54.52560925,4.785375687,4.879294881,453,380,2
78,20,p156,55.782231237654784,51.74235437005874,61.76818716234522,27.921955189941258,0.761903647,2.296463775,433,406,1
79,20,p157,55.36995309128139,51.46697783542801,61.5899958687186,28.299582514571988,0.8439329240000001,2.318950494,432,407,1
80,21,c10,14.99515366654625,6.299175885343802,85.35725012,54.52560925,4.785375687,4.879294881,453,380,2
81,21,p119,66.40325204312666,29.25512446851509,54.36415551687335,50.40610470148491,0.9943210379999999,1.413698001,451,415,1
82,21,p120,66.34444990473793,29.15112592696994,56.328642135262065,51.33401165303006,0.8644573609999999,1.5943735890000001,448,415,1
83,22,c34,94.90446764257246,61.938370089756354,27.77789109,22.88262204,1.221070855,9.134788236,451,374,2
84,22,p119,66.40325204312666,29.25512446851509,54.36415551687335,50.40610470148491,0.9943210379999999,1.413698001,451,415,1
85,22,p120,66.34444990473793,29.15112592696994,56.328642135262065,51.33401165303006,0.8644573609999999,1.5943735890000001,448,415,1
86,23,c77,83.11394932620051,53.788183428007315,25.074081600000003,20.97133021,3.9083241,5.467472423999999,867,825,2
87,23,p233,59.78590449746056,30.29135928656934,48.40274102253944,46.02181102343066,0.799910881,1.7158104930000002,857,830,1
88,23,p199,46.84965391504716,45.31080412305651,57.57976910495284,25.32719949694348,0.596248345,1.348771512,871,826,1
89,24,c13,15.639285849201919,6.756575036996449,83.84315927,53.78988471,2.320818524,5.5525823579999996,506,403,2
90,24,p41,47.51406208181907,49.22982012091201,56.67182469818093,18.929676239087996,1.094235396,2.3056810619999997,474,441,1
91,24,p42,45.4053587122479,47.509542817776726,51.00392712775209,19.057241702223273,1.199173988,1.6509370380000001,476,439,1
92,24,p43,48.10421895462033,49.113729721410664,55.27206423537967,21.00799879858934,1.151238655,1.803498552,478,444,1
93,24,p44,46.36433815690155,46.14364056824634,56.45266652309845,21.319120381753663,0.591043705,1.4924140819999998,486,444,1
94,24,p45,46.26321006304276,45.575777570684195,55.96099349695724,21.5944634193158,0.611296607,1.445052251,488,443,1
